nombre,clasificac,ubicacion,barrio,comuna,area,perimeter,Score,Reviews,Descripcion,Direccion,CLASE
,CANTERO CENTRAL,"ROCA, CNEL., AV.  E/ PORTELA Y PAZ, GRAL., AV (FALTA RELEVAR COMO SE CRUZAN LAS CALLES A FIN DE ESTABLECER LIMITES DE CANTEROS)",VILLA RIACHUELO,8.0,460.898,20.0,,,,,
,CANTERO CENTRAL,"ROCA, CNEL., AV.  E/ PORTELA Y PAZ, GRAL., AV (FALTA RELEVAR COMO SE CRUZAN LAS CALLES A FIN DE ESTABLECER LIMITES DE CANTEROS)",VILLA RIACHUELO,8.0,327.67,20.0,,,,,
,CANTERO CENTRAL,"ROCA, CNEL., AV.  E/ PORTELA Y PAZ, GRAL., AV (FALTA RELEVAR COMO SE CRUZAN LAS CALLES A FIN DE ESTABLECER LIMITES DE CANTEROS)",VILLA RIACHUELO,8.0,109.379,0.0,,,,,
,CANTERO CENTRAL,"ROCA, CNEL., AV.  E/ PORTELA Y PAZ, GRAL., AV (FALTA RELEVAR COMO SE CRUZAN LAS CALLES A FIN DE ESTABLECER LIMITES DE CANTEROS)",VILLA RIACHUELO,8.0,1042.591,9900.0,,,,,
,CANTERO CENTRAL,"ROCA, CNEL., AV.  E/ PORTELA Y PAZ, GRAL., AV (FALTA RELEVAR COMO SE CRUZAN LAS CALLES A FIN DE ESTABLECER LIMITES DE CANTEROS)",VILLA RIACHUELO,8.0,478.954,10.0,,,,,
,CANTERO CENTRAL,"ROCA, CNEL., AV.  E/ PORTELA Y PAZ, GRAL., AV (FALTA RELEVAR COMO SE CRUZAN LAS CALLES A FIN DE ESTABLECER LIMITES DE CANTEROS)",VILLA RIACHUELO,8.0,6483.476,9700.0,,,,,
,CANTERO CENTRAL,"FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV.  E/ LARRAZABAL, AV. Y OLIDEN",VILLA LUGANO,8.0,445.046,9990.0,,,,,
,CANTERO CENTRAL,"FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV.  E/ LARRAZABAL, AV. Y OLIDEN",VILLA LUGANO,8.0,158.379,9990.0,,,,,
,CANTERO CENTRAL,"FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV.  E/ LARRAZABAL, AV. Y OLIDEN",VILLA LUGANO,8.0,1527.7720000000004,9900.0,,,,,
,CANTERO CENTRAL,"FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV.  E/ LARRAZABAL, AV. Y OLIDEN",VILLA LUGANO,8.0,280.091,10.0,,,,,
,CANTERO CENTRAL,"CAFAYATE E/ FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. Y BERON DE ASTRADA",VILLA LUGANO,8.0,200.75,0.0,,,,,
,CANTERO CENTRAL,"CAFAYATE E/ FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. Y BERON DE ASTRADA",VILLA LUGANO,8.0,173.482,0.0,,,,,
,CANTERO CENTRAL,"CAFAYATE E/ FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. Y BERON DE ASTRADA",VILLA LUGANO,8.0,494.387,0.0,,,,,
,CANTERO CENTRAL,"CAFAYATE E/ FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. Y BERON DE ASTRADA",VILLA LUGANO,8.0,441.107,30.0,,,,,
