nombre,clasificac,ubicacion,barrio,comuna,area,perimeter
,PARQUE,"SALGUERO, JERONIMO ENTRE AUTOPISTA DR. A.  U. ILLIA Y OBLIGADO, RAFAEL, AV. COSTANERA",RECOLETA,2.0,10.058,0.0
PLAZA BEATRIZ GUIDO,PLAZA,"PASEO COLON, AV. - COCHABAMBA - SAN JUAN AV",SAN TELMO,1.0,987.932,554.0790000000002
PLAZA MADRES DEL PAÑUELO BLANCO,PLAZA,RICARDO BALBIN AV - PARQUE ROBERTO GOYENECHE - GARCIA DEL RIO,SAAVEDRA,12.0,2065.464,361.546
,CANTERO CENTRAL,"CONJUNTO DE CANTEROS UBICADOS ENTRE BACH, JUAN SEBASTIAN - PARQUE - DONADO - CONGRESO",SAAVEDRA,12.0,592.409,9990.0
,CANTERO CENTRAL,"CONJUNTO DE CANTEROS UBICADOS ENTRE BACH, JUAN SEBASTIAN - PARQUE - DONADO - CONGRESO",SAAVEDRA,12.0,324.632,10.0
,PLAZOLETA,CONJUNTO PLAZOLETAS HOLMBERG - CONGRESO - PLAZA - PARQUE (PROYECTO AUTOPISTA U5,SAAVEDRA,12.0,1804.048,0.0
,PLAZOLETA,CONJUNTO PLAZOLETAS HOLMBERG - CONGRESO - PLAZA - PARQUE (PROYECTO AUTOPISTA U5,SAAVEDRA,12.0,3835.576,0.0
,PLAZOLETA,CONJUNTO PLAZOLETAS HOLMBERG - CONGRESO - PLAZA - PARQUE (PROYECTO AUTOPISTA U5,SAAVEDRA,12.0,2158.397,9900.0
,PLAZOLETA,CONJUNTO PLAZOLETAS HOLMBERG - CONGRESO - PLAZA - PARQUE (PROYECTO AUTOPISTA U5,SAAVEDRA,12.0,1021.398,0.0
REPUBLICA SOCIALISTA DE VIETNAM,CANTERO CENTRAL,QUESADA - DONADO - CONGRESO - HOLMBERG,VILLA URQUIZA,12.0,318.593,195.449
ESLOVAQUIA,PLAZOLETA,DONADO - QUESADA - HOLMBERG - IBERA,VILLA URQUIZA,12.0,3512.975,480.758
PLAZOLETA SALVADOR ALLENDE,PLAZOLETA,CONJUNTO PLAZOLETAS HOLMBERG - CONGRESO - PLAZA - PARQUE (PROYECTO AUTOPISTA U5,VILLA URQUIZA,12.0,4186.989000000001,320.423
,CANTERO CENTRAL,"CONJUNTO DE CANTEROS UBICADOS ENTRE BACH, JUAN SEBASTIAN - PARQUE - DONADO - CONGRESO",VILLA URQUIZA,12.0,384.458,30.0
PLAZA FUERZA AEREA ARGENTINA,PLAZA,"DEL LIBERTADOR, AV. - SAN MARTIN - RAMOS MEJIA, JOSE M., DR., AV. - GILARDI, GILARDO",RETIRO,1.0,10978.252,0.0
PLAZA LA VUELTA DE OBLIGADO,PLAZA,"GARAY, JUAN DE, AV. - COMBATE DE LOS POZOS - PICHINCHA - BRASIL, AV.",PARQUE PATRICIOS,4.0,58044.116,0.0
,PLAZOLETA,CONJUNTO PLAZOLETAS HOLMBERG - CONGRESO - PLAZA - PARQUE (PROYECTO AUTOPISTA U5,VILLA URQUIZA,12.0,733.488,60.0
,PLAZOLETA,CONJUNTO PLAZOLETAS HOLMBERG - CONGRESO - PLAZA - PARQUE (PROYECTO AUTOPISTA U5,VILLA URQUIZA,12.0,892.5039999999998,20.0
,PLAZOLETA,CONJUNTO PLAZOLETAS HOLMBERG - CONGRESO - PLAZA - PARQUE (PROYECTO AUTOPISTA U5,VILLA URQUIZA,12.0,291.387,0.0
,PLAZOLETA,CONJUNTO PLAZOLETAS HOLMBERG - CONGRESO - PLAZA - PARQUE (PROYECTO AUTOPISTA U5,VILLA URQUIZA,12.0,70.111,4.0
,PLAZOLETA,CONJUNTO PLAZOLETAS HOLMBERG - CONGRESO - PLAZA - PARQUE (PROYECTO AUTOPISTA U5,VILLA URQUIZA,12.0,412.99,10.0
,PLAZOLETA,CONJUNTO PLAZOLETAS HOLMBERG - CONGRESO - PLAZA - PARQUE (PROYECTO AUTOPISTA U5,VILLA URQUIZA,12.0,959.544,9980.0
VILLA SANTA RITA,PLAZOLETA,"CUENCA - JUSTO, JUAN B., AV. - GALICIA",VILLA SANTA RITA,11.0,216.747,10.0
LEONARDO PEREYRA,PARQUE,"ALVARADO - RIO CUARTO - LUZURIAGA - VELEZ SARSFIELD, AV.",BARRACAS,4.0,38641.969,7000.0
PLAZA REPUBLICA DEL PARAGUAY,PLAZA,"BARRIENTOS - PEÑA - LARREA - PACHECO DE MELO, JOSE A.",RECOLETA,2.0,2060.773,100.0
,PLAZOLETA,CONJUNTO PLAZOLETAS HOLMBERG - CONGRESO - PLAZA - PARQUE (PROYECTO AUTOPISTA U5,VILLA URQUIZA,12.0,806.802,20.0
DOÑA PETRONA C. DE GANDULFO,PLAZOLETA,HOLMBERG - NUÑEZ - DONADO - MANUELA PEDRAZA,VILLA URQUIZA,12.0,5263.023,747.9680000000002
,PLAZOLETA,CONJUNTO PLAZOLETAS HOLMBERG - CONGRESO - PLAZA - PARQUE (PROYECTO AUTOPISTA U5,SAAVEDRA,12.0,2154.215,100.0
,PLAZOLETA,CONJUNTO PLAZOLETAS HOLMBERG - CONGRESO - PLAZA - PARQUE (PROYECTO AUTOPISTA U5,SAAVEDRA,12.0,382.331,20.0
,PLAZOLETA,CONJUNTO PLAZOLETAS HOLMBERG - CONGRESO - PLAZA - PARQUE (PROYECTO AUTOPISTA U5,SAAVEDRA,12.0,976.761,9970.0
,PLAZOLETA,CONJUNTO PLAZOLETAS HOLMBERG - CONGRESO - PLAZA - PARQUE (PROYECTO AUTOPISTA U5,SAAVEDRA,12.0,3235.026,9800.0
DOÑA PETRONA C. DE GANDULFO,CANTERO CENTRAL,HOLMBERG - NUÑEZ - DONADO - MANUELA PEDRAZA,VILLA URQUIZA,12.0,619.297,338.274
RABINO MARSHALL MEYER,CANTERO CENTRAL,HOLMBERG - NUÑEZ - DONADO - CRISOLOGO LARRALDE,SAAVEDRA,12.0,566.286,330.86
RABINO MARSHALL MEYER,PLAZOLETA,HOLMBERG - NUÑEZ - DONADO - CRISOLOGO LARRALDE,SAAVEDRA,12.0,5581.174,735.579
HIDROAVION BUENOS AIRES,CANTERO CENTRAL,"OBLIGADO, RAFAEL AV. COSTANERA (FRENTE AL AEROPARQUE). EMPLAZADO DENTRO DEL ESPGON PUERTO ARGENTINO",PALERMO,14.0,5091.86,9700.0
ESLOVAQUIA,CANTERO CENTRAL,DONADO - QUESADA - HOLMBERG - IBERA,VILLA URQUIZA,12.0,382.091,230.599
HUNGRIA,CANTERO CENTRAL,DONADO - RAMALLO - HOLMBERG - ARIAS,SAAVEDRA,12.0,554.496,192.051
,CANTERO CENTRAL,"CONJUNTO DE CANTEROS UBICADOS ENTRE BACH, JUAN SEBASTIAN - PARQUE - DONADO - CONGRESO",SAAVEDRA,12.0,220.27,10.0
,CANTERO CENTRAL,"LIMA - CHILE - INDEPENDENCIA, AV. - 9 DE JULIO, AV. (ESTE PASEO EST  INCLUIDO EN CANTERO CENTRAL PROVINCIA DEL CHACO)",MONSERRAT,1.0,1330.605,0.0
,PLAZOLETA,"UDAONDO, GUILLERMO Y LUGONES, LEOPLODO",NUÑEZ,13.0,11385.932,1383.629
,PLAZOLETA,"CANTILO, INT. Y UDAONDO, GUILLERMO",BELGRANO,13.0,3124.506,660.346
,PLAZOLETA,DE LOS CONSTITUYENTES Y CHORROARIN,PARQUE CHAS,15.0,438.707,163.185
PLAZOLETA NUESTRA SEÑORA DE LA PATRIA,PLAZOLETA,"TRELLES MANUEL R. - WEARNES - RODRIGUEZ, MANUEL A., GRAL.",PATERNAL,15.0,12.902,34.109
,PLAZOLETA,"GUZMAN ENTRE NEWBERY, JORGE Y LACROZE",CHACARITA,15.0,1151.653,685.0880000000002
PLAZOLETA 28 DE JUNIO DE 1645,PLAZOLETA,"GUZMAN Y LACROZE, FEDERICO",CHACARITA,15.0,509.967,617.3240000000002
,PLAZOLETA,"DARWIN - CORDOBA - JUFRE - JUSTO, JUAN B.",VILLA CRESPO,15.0,257.339,0.0
,PLAZOLETA,"PAZ, GRAL. - BALBIN, RICARDO, DR.",SAAVEDRA,12.0,1950.07,9900.0
,PLAZOLETA,"PAZ, GRAL. - BALBIN, RICARDO, DR.",SAAVEDRA,12.0,1522.6170000000004,0.0
,PLAZOLETA,"ANDONAEGUI Y LARRALD, CRISOLOGO",SAAVEDRA,12.0,66.74600000000001,9995.0
,PLAZOLETA,"SALTO - VALDENEGRO - PAZ, GRAL.",SAAVEDRA,12.0,532.925,9950.0
,PLAZOLETA,"SALTO - VALDENEGRO - PAZ, GRAL.",SAAVEDRA,12.0,77.64399999999998,5.0
HUNGRIA,CANTERO CENTRAL,DONADO - RAMALLO - HOLMBERG - ARIAS,SAAVEDRA,12.0,110.513,186.633
,PLAZOLETA,CONJUNTO PLAZOLETAS HOLMBERG - CONGRESO - PLAZA - PARQUE (PROYECTO AUTOPISTA U5,VILLA URQUIZA,12.0,89.757,5.0
,PLAZOLETA,"MOSCONI, GRAL. Y PAZ, GRAL",VILLA DEVOTO,11.0,848.2330000000002,154.884
,PLAZOLETA,"MOSCONI, GRAL. Y PAZ, GRAL",VILLA DEVOTO,11.0,182.048,61.42100000000001
,JARDIN,"FLORES, VENANCIO, GRAL. ENTRE OLIVIERI Y CARRASCO",VELEZ SARSFIELD,10.0,3746.137,200.0
,JARDIN,"FLORES, VENANCIO, GRAL. ENTRE OLIVIERI Y CARRASCO",VELEZ SARSFIELD,10.0,2851.0370000000007,9800.0
,CANTERO CENTRAL,FERNANDEZ DE LA CRUZ E. MARTINEZ CASTRO,VILLA SOLDATI,8.0,523.231,9990.0
,CANTERO CENTRAL,FERNANDEZ DE LA CRUZ  E. LACARRA,VILLA SOLDATI,8.0,1315.57,9900.0
,CANTERO CENTRAL,FERNANDEZ DE LA CRUZ  E. LACARRA,VILLA SOLDATI,8.0,1247.821,50.0
,PARQUE,,VILLA LUGANO,8.0,14.254,0.0
PLAZA DE LOS NIÑOS - DR. CARLOS GIANATONIO,PLAZA,"OBISPO SAN ALBERTO - CONDARCO - CABEZON, JOSE L. - BOLIVIA - LADINES - ARTIGAS, JOSE G., GRAL. - VIAS DEL FCGBM",VILLA PUEYRREDON,12.0,8167.111999999999,0.0
PLAZA REPUBLICA DE CHILE,PLAZA,"DEL LIBERTADOR, AV. - TAGLE - PROPIEDAD PARTICULAR - FIGUEROA ALCORTA, PRES., AV. - CASTILLA, RAMON, MCAL.",PALERMO,14.0,24241.275,1000.0
,PLAZOLETA,DERQUI - ZUVIRIA - SAN JUAN BAUTISTA DE LA SALLE,PARQUE AVELLANEDA,9.0,245.441,58.277
PLAZA DE ISIDORA,PLAZA,CAAGUAZU ENTRE LARRAZABAL Y FONROUGE,LINIERS,9.0,2687.81,552.134
DR. CESAR M. POLLEDO,PLAZOLETA,"PASEO COLON, AV. - INDEPENDENCIA, AV. - GIUFFRA, JOSE M., DR.",SAN TELMO,1.0,131.586,10.0
,CANTERO CENTRAL,"SOLDADO DE LA FRONTERA ENTRE DIAZ, ANA Y RAMIREZ, CEFERINO, COMODORO",VILLA LUGANO,8.0,1843.166,9900.0
,CANTERO CENTRAL,"SOLDADO DE LA FRONTERA ENTRE DIAZ, ANA Y RAMIREZ, CEFERINO, COMODORO",VILLA LUGANO,8.0,171.476,0.0
,CANTERO CENTRAL,"SOLDADO DE LA FRONTERA ENTRE ROCA, CNEL. Y RAMIREZ, CEFERINO, COMODORO",VILLA LUGANO,8.0,251.683,9990.0
,PLAZOLETA,"SOLDADO DE LA FRONTERA ENTRE ROCA, CNEL. Y RAMIREZ, CEFERINO, COMODORO",VILLA LUGANO,8.0,235.121,10.0
,PLAZOLETA,"SOLDADO DE LA FRONTERA ENTRE ROCA, CNEL. Y RAMIREZ, CEFERINO, COMODORO",VILLA LUGANO,8.0,435.921,9990.0
,CANTERO CENTRAL,"SOLDADO DE LA FRONTERA ENTRE DIAZ, ANA Y RAMIREZ, CEFERINO, COMODORO",VILLA LUGANO,8.0,9.974,0.0
,CANTERO CENTRAL,"SOLDADO DE LA FRONTERA ENTRE DIAZ, ANA Y RAMIREZ, CEFERINO, COMODORO",VILLA LUGANO,8.0,35.004,9998.0
,CANTERO CENTRAL,"SOLDADO DE LA FRONTERA ENTRE DIAZ, ANA Y RAMIREZ, CEFERINO, COMODORO",VILLA LUGANO,8.0,51.493,2.0
,CANTERO CENTRAL,"PERGAMINO ENTRE BERON DE ASTRADA Y RABANAL, FRANCISCO, INTENDENTE",VILLA SOLDATI,8.0,432.598,408.497
,CANTERO CENTRAL,"FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV.  E/ MORENO, PERITO, AV. Y EREZCANO, AV.",FLORES,7.0,321.71,9980.0
,CANTERO CENTRAL,"FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV.  E/ VEDIA, AGUSTIN DE Y MORENO, PERITO, AV.",FLORES,7.0,230.403,9990.0
,PLAZOLETA,"TAGLE ENTRE FIGUEROA, ALCORTA, PRES. Y VIAS FERROCARRIL BARTOLOME MITRE",RECOLETA,2.0,600.633,40.0
,CANTERO CENTRAL,"BIBILONI, JUAN A ENTRE FIGUEROA ALCORTA, PRESIDENTE Y LIBRES DEL SUR",RECOLETA,2.0,1488.402,0.0
,CANTERO CENTRAL,"DE LOS INMIGRANTES ENTRE ANTARTIDA ARGENTINA Y CASTILLO, RAMON., PRES.",RETIRO,1.0,418.782,9980.0
,CANTERO CENTRAL,"DE LOS INMIGRANTES ENTRE ANTARTIDA ARGENTINA Y CASTILLO, RAMON., PRES.",RETIRO,1.0,447.357,30.0
,CANTERO CENTRAL,"DE LOS INMIGRANTES ENTRE ANTARTIDA ARGENTINA Y CASTILLO, RAMON., PRES.",RETIRO,1.0,312.085,9980.0
,CANTERO CENTRAL,"DE LOS INMIGRANTES ENTRE ANTARTIDA ARGENTINA Y CASTILLO, RAMON., PRES.",RETIRO,1.0,374.916,9970.0
,CANTERO CENTRAL,"DE LOS INMIGRANTES ENTRE ANTARTIDA ARGENTINA Y CASTILLO, RAMON., PRES.",RETIRO,1.0,84.686,7.0
,CANTERO CENTRAL,"DE LOS INMIGRANTES ENTRE ANTARTIDA ARGENTINA Y CASTILLO, RAMON., PRES.",RETIRO,1.0,1325.336,0.0
,PLAZOLETA,"ANTARTIDA ARGENTINA, AV.  E/ CASTILLO, RAMON S., PRES., AV. Y SAN MARTIN",RETIRO,1.0,445.36800000000005,0.0
,PLAZOLETA,"ANTARTIDA ARGENTINA, AV.  E/ CASTILLO, RAMON S., PRES., AV. Y SAN MARTIN",RETIRO,1.0,36.069,3.0
,PLAZOLETA,"ANTARTIDA ARGENTINA, AV.  E/ CASTILLO, RAMON S., PRES., AV. Y SAN MARTIN",RETIRO,1.0,476.386,20.0
,PLAZOLETA,"ANTARTIDA ARGENTINA, AV.  E/ CASTILLO, RAMON S., PRES., AV. Y SAN MARTIN",RETIRO,1.0,203.816,0.0
,PLAZOLETA,"ANTARTIDA ARGENTINA, AV.  E/ CASTILLO, RAMON S., PRES., AV. Y SAN MARTIN",RETIRO,1.0,50.68899999999999,0.0
,PLAZOLETA,GENDARMERIA NACIONAL ENTRE ANTARTIDA ARGENTINA Y CALLE 4 (NO OFICIAL),RETIRO,1.0,160.749,0.0
,CANTERO CENTRAL,"ANTARTIDA ARGENTINA Y QUARTINO, JOSE N., ING.",RETIRO,1.0,772.265,9990.0
,CANTERO CENTRAL,"ANTARTIDA ARGENTINA Y QUARTINO, JOSE N., ING.",RETIRO,1.0,1290.438,9900.0
,CANTERO CENTRAL,"ANTARTIDA ARGENTINA Y QUARTINO, JOSE N., ING.",RETIRO,1.0,1341.1629999999998,0.0
,PLAZOLETA,"MOREAU DE JUSTO, ALICIA - GORRITI, JUANA MANUELA - GUEMES, MACACHA",PUERTO MADERO,1.0,442.035,30.0
,PLAZOLETA,"MOREAU DE JUSTO, ALICIA - GORRITI, JUANA MANUELA - GUEMES, MACACHA",PUERTO MADERO,1.0,1446.389,9900.0
,PLAZOLETA,"MOREAU DE JUSTO, ALICIA - GORRITI, JUANA MANUELA - GUEMES, MACACHA",PUERTO MADERO,1.0,279.275,9980.0
,PLAZOLETA,"MOREAU DE JUSTO, ALICIA - GORRITI, JUANA MANUELA - GUEMES, MACACHA",PUERTO MADERO,1.0,72.509,0.0
,PLAZOLETA,"MOREAU DE JUSTO, ALICIA - GORRITI, JUANA MANUELA - GUEMES, MACACHA",PUERTO MADERO,1.0,905.955,40.0
,PLAZOLETA,"GRIERSON, CECILIA ENTRE DE LOS ITALIANOS Y GIRALT, HERNAN M., INT., A.",RETIRO,1.0,1088.21,0.0
"PASEO DE LOS VECINOS DESTACADOS DE VILLA LUGANO COMUNA 8 - JOSE ""PEPE"" LIBERTELLA",CANTERO CENTRAL,"RIESTRA ENTRE RUCCI, JOSE IGNACIO Y HUDSON",VILLA LUGANO,8.0,262.274,0.0
,PARQUE,,VILLA LUGANO,8.0,114.204,9990.0
,PLAZOLETA,"LACARRA Y PERON, EVA",PARQUE AVELLANEDA,9.0,80.33800000000002,9994.0
,CANTERO CENTRAL,"SOLDADO DE LA FRONTERA ENTRE DIAZ, ANA Y RAMIREZ, CEFERINO, COMODORO",VILLA LUGANO,8.0,301.605,20.0
,CANTERO CENTRAL,"SOLDADO DE LA FRONTERA ENTRE DIAZ, ANA Y RAMIREZ, CEFERINO, COMODORO",VILLA LUGANO,8.0,213.972,10.0
,CANTERO CENTRAL,"SOLDADO DE LA FRONTERA ENTRE DIAZ, ANA Y RAMIREZ, CEFERINO, COMODORO",VILLA LUGANO,8.0,801.059,0.0
,CANTERO CENTRAL,"SOLDADO DE LA FRONTERA ENTRE ROCA, CNEL. Y RAMIREZ, CEFERINO, COMODORO",VILLA LUGANO,8.0,2219.298,502.079
,CANTERO CENTRAL,"SOLDADO DE LA FRONTERA ENTRE ROCA, CNEL. Y RAMIREZ, CEFERINO, COMODORO",VILLA LUGANO,8.0,1388.437,9900.0
PLAZA BARRANCAS DE BELGRANO,PLAZA,"VERTIZ, VIRREY, AV. - JURAMENTO - ZAVALIA -ECHEVERRIA / 11 DE SEPTIEMBRE - LA PAMPA -VERTIZ, VIRREY, AV - SUCRE, ANTONIO JOSE DE, MCAL.",BELGRANO,13.0,19569.526,1000.0
,PLAZOLETA,"SANTA FE ENTRE FITZ ROY Y BULLRICH, INT.",PALERMO,14.0,99.124,9995.0
,PLAZOLETA,"MOSCONI, GRAL. Y PAZ, GRAL",VILLA DEVOTO,11.0,175.50799999999995,68.192
BOMBEROS VOLUNT. DE LA BOCA,PLAZOLETA,,BOCA,4.0,377.568,9980.0
,PLAZOLETA,"MONTES DE OCA, MANUEL Y RIO CUARTO",BARRACAS,4.0,620.932,20.0
,PLAZOLETA,RIO CUARTO Y HERRERA,BARRACAS,4.0,407.69,0.0
FRANCISCO URONDO,CANTERO CENTRAL,"DE LOS ITALIANOS, AV. - GUEMES, MACACHA, BOULEVARD - NOEL, CARLOS M., INT., AV. COSTANERA - SANCHEZ DE THOMPSON, MARIQUITA",PUERTO MADERO,1.0,25036.28,2258.199
PLAZA JAMAICA,PLAZA,BURELA - MOSCU - ESTOCOLMO (BARRIO PARQUE CHAS),PARQUE CHAS,15.0,647.691,30.0
,CANTERO CENTRAL,"CALLAO, AV. E/ DEL LIBERTADOR, AV. Y VIAS DEL FCGBM",RECOLETA,2.0,241.876,10.0
PLAZOLETA RAYMUNDO GLEYZER,PLAZOLETA,"ESPINOSA - GARCIA, JUAN A. - ALVAREZ, DONATO, TTE. GRAL., AV.",PATERNAL,15.0,151.70600000000005,136.067
,CANTERO CENTRAL,"FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV.  E/ VEDIA, AGUSTIN DE Y MORENO, PERITO, AV.",FLORES,7.0,33.881,0.0
SAARA VAAMONDE,PLAZOLETA,"INDEPENDENCIA, AV. - MUÑIZ - MARMOL, JOSE",BOEDO,5.0,1651.684,0.0
PLAZA DE LAS AMERICAS,PLAZOLETA,SARMIENTO - PARANA,SAN NICOLAS,1.0,855.4889999999998,30.0
,PATIO RECREATIVO,"BONORINO, ESTEBAN, CNL., AV. - CASTAÑARES, AV.",FLORES,7.0,1115.438,100.0
PZTA GRAL. FRANCISCO RAMIREZ,PLAZOLETA,"MOLDES - PEDRAZA, MANUELA - TAMBORINI, JOSE P.",NUÑEZ,13.0,1950.862,100.0
PLAZA DON BOSCO,PLAZA,"LOPEZ DE VEGA - MIRANDA - CALDERON DE LA BARCA, PEDRO - GONZALEZ, ELPIDIO (EXCLUIDO HOSPITAL)",MONTE CASTRO,10.0,8024.964,9900.0
PLAZA NICARAGUA,PLAZA,"PEPIRI - PAZ, JOSE C. - ELIA",PARQUE PATRICIOS,4.0,5441.6590000000015,9700.0
PLAZA MONSERRAT,PLAZA,SAN JOSE - MEXICO - CHILE - SANTIAGO DEL ESTERO,MONSERRAT,1.0,1354.854,0.0
AGUSTIN MAGALDI,PLAZOLETA,"ARATA, PEDRO N. -  E/ IRIARTE, AV. (N) Y RIO CUARTO (S)",BARRACAS,4.0,1269.581,9900.0
CIUDAD DE SALAMANCA,CANTERO CENTRAL,"ESPAÑA, AV. Y PAREJA, FRANCISCO, ALFEREZ DE NAVIO",BOCA,4.0,1762.692,0.0
PLAZA GÜEMES,PLAZA,"SALGUERO, JERONIMO - MANSILLA, LUCIO NORBERTO, GRAL. - CHARCAS - MEDRANO, AV.",PALERMO,14.0,1240.542,9900.0
AGUSTIN BARDI,PLAZOLETA,"FIGUEROA ALCORTA, PRES., AV. - LA PAMPA",BELGRANO,13.0,1063.595,0.0
PLAZA VENEZUELA,PLAZA,"FIGUEROA ALCORTA, PRES., AV. - AUSTRIA -  VIAS DEL FCGBM - LINEA PARALELA A LA CALLETAGLE",RECOLETA,2.0,3034.96,0.0
PLAZA JOAQUIN SANCHEZ,PLAZA,"VUELTA DE OBLIGADO - JURAMENTO - SAGASTA ISLA, JOSE MARIA",BELGRANO,13.0,151.817,10.0
GRAL. RIEGO Y R. NUÑEZ,PLAZOLETA,O'HIGGINS - CESPEDES - ARCOS,PALERMO,14.0,275.772,9990.0
PLAZA DE LAS ESCUELAS,PLAZA,"LARRAZABAL, AV. - DESCALZI, NICOLAS",VILLA LUGANO,8.0,2443.025,100.0
PLAZA ILDEFONSO F. C. MARTINEZ,PLAZA,"MOLDES - GARCIA DEL RIO, AV. (N) - AMENABAR - GARCIA DEL RIO, AV. (S)",SAAVEDRA,12.0,1802.588,0.0
BRIG. GRAL. MANUEL ORIBE,PLAZOLETA,"LA PAMPA - OBLIGADO, RAFAEL, AV. COSTANERA",BELGRANO,13.0,217.7,9990.0
BRIG. GRAL. ENRIQUE MARTINEZ,PLAZOLETA,"CASARES, AV. - CASTEX - GELLY",PALERMO,14.0,1378.774,9900.0
DARWIN PASSAPONTI,CANTERO CENTRAL,"GARCIA DEL RIO, AV.  E/ CIUDAD DE LA PAZ Y AMENABAR",SAAVEDRA,12.0,2132.32,200.0
GRAL. JOSE A. PAEZ,PLAZOLETA,"DEL LIBERTADOR, AV. - KENNEDY, JOHN F. - MONTT, PEDRO, PRES., AV. - IRAOLA, AV.",PALERMO,14.0,12556.603,9000.0
PLAZA DANTE,PLAZA,"DEL LIBERTADOR, AV. - PUEYRREDON, AV. - FIGUEROA ALCORTA, PRES., AV. - PETTORUTI, EMILIO",RECOLETA,2.0,4734.023,100.0
PLAZA PRESIDENTE JUAN DOMINGO PERON,PLAZA,BELGRANO AV - MORENO - AZOPARDO - PASEO COLON AV,MONSERRAT,1.0,4761.33,9900.0
PLAZA VIRREY VERTIZ,PLAZA,"HERRERA - VALLE, ARISTOBULO DEL - HORNOS GRAL. - BRANDSEN",BARRACAS,4.0,8877.725,400.0
PLAZA DE LA REPUBLICA,PLAZA,"9 DE JULIO, AV. - CORRIENTES, AV. - SAENZ PEÑA, ROQUE, PRES., AV.",SAN NICOLAS,1.0,3277.144,0.0
CIRO EL GRANDE,CANTERO CENTRAL,"ARROYO - POSADAS - PELLEGRINI, CARLOS",RETIRO,1.0,50.699,9998.0
UNION EUROPEA,CANTERO CENTRAL,"9 DE JULIO, AV. E/ ARROYO  Y JUNCAL Y EL EMPALME ENTRE CERRITO Y LA AUTOPISTA ILLIA, ARTURO H., PTE.",RETIRO,1.0,819.2610000000002,9970.0
PLAZA DE CATALUÑA,PLAZA,"9 DE JULIO, AV. - CERRITO - ARROYO - POSADAS",RETIRO,1.0,2587.186,100.0
PCIA. DE MISIONES,CANTERO CENTRAL,"LIMA - DE MAYO, AV. - RIVADAVIA, AV. - IRIGOYEN, BERNARDO DE",MONSERRAT,1.0,1289.464,9900.0
GRAL. PAZ,PLAZOLETA,,VILLA REAL,10.0,1076581.106,0.0
,PLAZOLETA,CONJUNTO PLAZOLETAS HOLMBERG - CONGRESO - PLAZA - PARQUE (PROYECTO AUTOPISTA U5,SAAVEDRA,12.0,2201.951,0.0
,PLAZOLETA,CONJUNTO PLAZOLETAS HOLMBERG - CONGRESO - PLAZA - PARQUE (PROYECTO AUTOPISTA U5,SAAVEDRA,12.0,2019.773,9900.0
,PLAZOLETA,CONJUNTO PLAZOLETAS HOLMBERG - CONGRESO - PLAZA - PARQUE (PROYECTO AUTOPISTA U5,SAAVEDRA,12.0,1028.261,0.0
HUNGRIA,PLAZOLETA,DONADO - RAMALLO - HOLMBERG - ARIAS,SAAVEDRA,12.0,3694.385,799.686
,PLAZOLETA,CONJUNTO PLAZOLETAS HOLMBERG - CONGRESO - PLAZA - PARQUE (PROYECTO AUTOPISTA U5,SAAVEDRA,12.0,2222.601,100.0
,CANTERO CENTRAL,"CONJUNTO DE CANTEROS UBICADOS ENTRE BACH, JUAN SEBASTIAN - PARQUE - DONADO - CONGRESO",SAAVEDRA,12.0,118.668,10.0
,PLAZOLETA,CONJUNTO PLAZOLETAS HOLMBERG - CONGRESO - PLAZA - PARQUE (PROYECTO AUTOPISTA U5,SAAVEDRA,12.0,1828.784,100.0
,CANTERO CENTRAL,"CONJUNTO DE CANTEROS UBICADOS ENTRE BACH, JUAN SEBASTIAN - PARQUE - DONADO - CONGRESO",SAAVEDRA,12.0,1092.537,0.0
,CANTERO CENTRAL,"CONJUNTO DE CANTEROS UBICADOS ENTRE BACH, JUAN SEBASTIAN - PARQUE - DONADO - CONGRESO",VILLA URQUIZA,12.0,406.409,231.988
PARQUE PRESIDENTE SARMIENTO,PARQUE,,SAAVEDRA,12.0,446789.954,0.0
PLAZA DEMOCRACIA,PLAZA,,VILLA LUGANO,8.0,34479.592000000004,7000.0
CIUDAD DEL ROCK,PARQUE,,VILLA SOLDATI,8.0,563451.3620000001,0.0
,CANTERO CENTRAL,"SOLDADO DE LA FRONTERA ENTRE DIAZ, ANA Y RAMIREZ, CEFERINO, COMODORO",VILLA LUGANO,8.0,378.718,20.0
,CANTERO CENTRAL,"DE LOS INMIGRANTES ENTRE ANTARTIDA ARGENTINA Y CASTILLO, RAMON., PRES.",RETIRO,1.0,559.925,9950.0
,CANTERO CENTRAL,"ANTARTIDA ARGENTINA Y QUARTINO, JOSE N., ING.",RETIRO,1.0,36.311,0.0
,PLAZOLETA,"PERON, EVA Y DERQUI",PARQUE AVELLANEDA,9.0,100.13,0.0
,PLAZOLETA,"MONTES DE OCA, MANUEL Y RIO CUARTO",BARRACAS,4.0,388.402,9990.0
,PLAZOLETA,,RETIRO,1.0,1308.434,0.0
,CANTERO CENTRAL,"FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. E/ ESCALADA, AV. Y LARRAYA",VILLA LUGANO,8.0,8589.235,600.0
,JARDIN,"CANTILO, INT., AV. Y VIAS DEL FCGBM",BELGRANO,13.0,59036.227,8125.186
