Nombre,Score,Reviews,Descripcion,Direccion,CLASE
PLAZOLETA JUAN XXIII,4.4,27.0,PARQUE,CERRADO TEMPORALMENTE,PLAZOLETAS
PLAZOLETA MONS. H FAZIO,4.4,15.0,PARQUE,AV. LINCOLN 3802,PLAZOLETAS
DR. C. A. PUEYRREDON,4.4,10.0,,,
PLAZOLETA FEDERICO CHOPIN,4.4,8.0,PARQUE,CERRADO TEMPORALMENTE,PLAZOLETAS
DR. JUAN B. ALBERDI,4.4,8.0,,,
PLAZOLETA JULIO CORTAZAR,4.3,20749.0,PARQUE,SERRANO S/N,PLAZOLETAS
PLAZA ARMENIA,4.3,14044.0,,,
PLAZA MANUEL BELGRANO,4.3,6264.0,PARQUE,VUELTA DE OBLIGADO 2042,PLAZOLETAS
PLAZA DEL ANGEL GRIS,4.3,5810.0,,,
PLAZA LIBERTAD,4.3,5188.0,,,
PLAZA PQUES. NACIONALES ARGENTINOS,4.3,5046.0,,,
PARQUE EVA DUARTE DE PERON,4.3,3897.0,,,
PLAZA BRUNO GIORDANO,4.3,2783.0,,,
LEONARDO PEREYRA,4.3,2720.0,,,
PLAZA MONTE CASTRO,4.3,2670.0,,,
PLAZA TTE. GRAL. PABLO RICCHIERI,4.3,2535.0,,,
PLAZA CIUDAD DE BANFF,4.3,2423.0,,,
PLAZA DEMOCRACIA,4.3,2161.0,,,
BOSQUE ALEGRE (DEPVO. M. BELGRANO),4.3,1699.0,,,
PLAZA CLUB ALEMAN DE EQUITACION - PQUE. OLIMPICO (NO OFICIAL),4.3,1615.0,,,
PLAZA ALBERDI,4.3,1286.0,PARQUE,,PLAZOLETAS
PLAZOLETA LA CUMPARSITA,4.3,727.0,PARQUE,CERRADO TEMPORALMENTE,PLAZOLETAS
PLAZOLETA CASA AMARILLA,4.3,727.0,PARQUE,CERRADO TEMPORALMENTE,PLAZOLETAS
HENRY DUNANT,4.3,431.0,PARQUE,PRIMERA JUNTA 5145,PLAZOLETAS
PLAZA EL SALVADOR,4.3,241.0,,,
PLAZA ESTACION COGHLAN,4.3,186.0,,,
PQUE. DEPVO. ONEGA,4.3,162.0,,,
"PLAZA 1 DE MARZO DE 1948 ""LA COPITA""",4.3,134.0,PARQUE,CERRADO TEMPORALMENTE,PLAZOLETAS
PLAZA 1º DE MARZO DE 1948,4.3,134.0,,,
LINDOR B. SOTOMAYOR,4.3,124.0,PARQUE,"C1417GSB, JACHAL 3502-3600",PLAZOLETAS
PLAZA LEONARDO GETTE,4.3,92.0,PARQUE,CONDE ZEPPELIN 648,JARDINES
PLAZOLETA ENRIQUE UDAONDO,4.3,83.0,PARQUE,CERRADO TEMPORALMENTE,PLAZOLETAS
PLAZOLETA LUIS JOSE TEJEDA,4.3,83.0,PARQUE,"7099,, CARLOS J. BENIELLI 7051",PLAZOLETAS
PLAZOLETA HOMERO MANZI,4.3,73.0,PARQUE,"C1437AAC, AV. DEL BARCO CENTENERA 2201-2287",PLAZOLETAS
PLAZA VILLA SANTA RITA,4.3,55.0,PARQUE LOCAL,MIRANDA 3601,PLAZOLETAS
PLAZOLETA HNAS. A. DOMON Y L. DUQUET,4.3,53.0,PARQUE,MORETO 272-300,PLAZOLETAS
PLAZA REPUBLICA DE MEXICO,4.3,35.0,,,
PLAZOLETA EL OMBU,4.3,28.0,PARQUE,CERRADO TEMPORALMENTE,PLAZOLETAS
PLAZA CAMPAÑA DEL CHACO,4.3,27.0,,,
PLAZOLETA DE LA AMISTAD,4.3,11.0,PARQUE,AV. DORREGO 361-389,PLAZOLETAS
PLAZA REPUBLICA DE SERBIA,4.3,11.0,,,
PLAZOLETA CURUZU-CUATIA,4.3,8.0,PLAZA,CONDE 2952-3000,PLAZOLETAS
PLAZOLETA CORRO,4.3,6.0,PARQUE ESTATAL,,PLAZOLETAS
PLAZOLETA RAUL SOLDI,4.3,6.0,PARQUE,CERRADO TEMPORALMENTE,PLAZOLETAS
PLAZOLETA ZOE,4.3,4.0,PARQUE,CHIVILCOY 4501,PLAZOLETAS
GUILLERMO E. HUDSON,4.3,3.0,,,
PARQUE PRESIDENTE SARMIENTO,4.2,18741.0,,,
PARQUE SARMIENTO,4.2,18726.0,PARQUE,CERRADO TEMPORALMENTE,PLAZOLETAS
PLAZA DR. BERNARDO A. HOUSSAY,4.2,9857.0,,,
